,Date,Mood,Tags,Weather
304,2023 Sat Oct 14 7:48 PM,Fatigued;Disconnected,Home;Resting;By myself,few clouds
305,2023 Sat Oct 14 2:29 PM,Helpless,Home;Resting;By myself,few clouds
306,2023 Sat Oct 14 8:49 AM,Fatigued;Apathetic,Home;Resting;By myself,few clouds
307,2023 Fri Oct 13 6:34 PM,Tired;Melancholic,Home;By myself,broken clouds
308,2023 Fri Oct 13 1:30 PM,Peaceful,Home;Resting;Pets,light rain
309,2023 Fri Oct 13 7:41 AM,Apathetic,Home;Waking up;Resting;By myself,broken clouds
310,2023 Thu Oct 12 6:31 PM,Apathetic,Home;Watching shows;By myself,broken clouds
311,2023 Thu Oct 12 2:48 PM,Chill,Home;Watching shows;Resting;Family,scattered clouds
312,2023 Thu Oct 12 7:44 AM,Sad;Longing,Home;Resting;By myself,broken clouds
313,2023 Thu Oct 12 7:17 AM,Lost;Pensive,Home;Waking up;Resting;By myself,broken clouds
314,2023 Wed Oct 11 6:31 PM,Balanced;Chill,Home;Watching shows;By myself,light intensity drizzle
315,2023 Wed Oct 11 10:13 AM,Disengaged;Down,Home;After swimming;Resting;By myself,overcast clouds
316,2023 Tue Oct 10 2:18 PM,Good,Home;Writing;Pets,few clouds
317,2023 Tue Oct 10 6:40 AM,Proud;Optimistic,Home;Writing;By myself,broken clouds
318,2023 Mon Oct 9 9:10 PM,Relieved,Home;Resting;Pets,overcast clouds
319,2023 Mon Oct 9 8:28 PM,Sad;Worried,Home;Resting;By myself,overcast clouds
320,2023 Mon Oct 9 7:37 AM,Calm,Home;Writing;By myself,overcast clouds
321,2023 Sun Oct 8 7:18 PM,Lonely;Tired,Home;Resting;Pets,scattered clouds
322,2023 Sun Oct 8 5:56 PM,Lost;Melancholic,Home;Watching shows;By myself,scattered clouds
323,2023 Sun Oct 8 1:36 PM,Calm,Home;Watching shows;By myself,scattered clouds
324,2023 Sat Oct 7 7:08 PM,Joyful,Outside;Hanging out;Friends,overcast clouds
325,2023 Sat Oct 7 1:30 PM,Relaxed,Home;Resting;Pets,broken clouds
326,2023 Sat Oct 7 7:01 AM,Proud;Relaxed,Home;Waking up;By myself,light rain
327,2023 Fri Oct 6 6:08 PM,Chill;Relieved,Home;Resting;By myself,broken clouds
328,2023 Fri Oct 6 1:42 PM,Tired;Relaxed,Home;Resting;By myself,overcast clouds
329,2023 Fri Oct 6 8:33 AM,Annoyed;Pensive,Outside;Walking;By myself,light rain
330,2023 Thu Oct 5 11:33 PM,Tired;Accomplished,Commuting;Between places;Strangers,broken clouds
331,2023 Thu Oct 5 1:30 PM,Good,,clear sky
332,2023 Thu Oct 5 8:05 AM,Empowered,Outside;Running;Listening to music;By myself,broken clouds
333,2023 Thu Oct 5 7:29 AM,Upbeat;Nervous,Home;Planning teaching;By myself,broken clouds
334,2023 Wed Oct 4 1:38 PM,Down;Overwhelmed,Outside;Walking;By myself,broken clouds
335,2023 Wed Oct 4 7:45 AM,Ashamed;Inadequate,Home;Planning teaching;By myself,few clouds
336,2023 Wed Oct 4 7:42 AM,Thoughtful;Pensive,Home;Planning teaching;By myself,few clouds
337,2023 Tue Oct 3 5:27 PM,Burned Out;Worried,Home;Watching shows;By myself,broken clouds
338,2023 Tue Oct 3 2:58 PM,Optimistic;Accomplished,Work;Planning teaching;Co-workers,broken clouds
339,2023 Tue Oct 3 7:36 AM,Nervous,Home;Back from run;Pets,mist
340,2023 Tue Oct 3 7:10 AM,Empowered,Outside;Running;Listening to music;By myself,mist
341,2023 Mon Oct 2 6:35 PM,Restless,Home;Planning teaching;By myself,overcast clouds
342,2023 Mon Oct 2 3:47 PM,Nervous,Home;Planning teaching;By myself,overcast clouds
343,2023 Mon Oct 2 3:46 PM,Proud;Productive,Home;Planning teaching;By myself,overcast clouds
344,2023 Mon Oct 2 6:32 AM,Anxious,Home;Writing;Pets,light rain
345,2023 Mon Oct 2 6:32 AM,Pensive;Optimistic,Home;Writing;Pets,light rain
346,2023 Sun Oct 1 6:31 PM,Anxious;Apathetic,Home;Resting;By myself,overcast clouds
347,2023 Sun Oct 1 10:27 AM,Challenged;Pensive,Outside;Walking;By myself,broken clouds
348,2023 Sun Oct 1 6:31 AM,Apathetic;Trapped,Home;Writing;By myself,broken clouds
349,2023 Sat Sep 30 6:52 PM,Vulnerable;Burned Out,Home;Watching shows;By myself,few clouds
350,2023 Sat Sep 30 5:29 PM,Relaxed;Trapped,Home;Watching shows;By myself,few clouds
351,2023 Sat Sep 30 8:13 AM,Overwhelmed;Empty,Home;Planning teaching;Writing;By myself,clear sky
352,2023 Fri Sep 29 7:20 PM,Annoyed;Challenged,Home;Planning teaching;Watching shows;By myself,overcast clouds
353,2023 Fri Sep 29 10:04 AM,Lost;Regretful,Outside;After swimming;Walking;By myself,broken clouds
354,2023 Fri Sep 29 8:27 AM,Sad,Outside;Walking;By myself,broken clouds
355,2023 Fri Sep 29 6:51 AM,Apathetic,Home;Writing;Waking up;By myself,broken clouds
356,2023 Thu Sep 28 5:40 PM,Curious,School;Networking;Strangers;Friends,clear sky
357,2023 Thu Sep 28 7:10 AM,Optimistic,Home;Writing;By myself,overcast clouds
358,2023 Thu Sep 28 6:31 AM,Sad;Worried,Home;Resting;By myself,overcast clouds
359,2023 Thu Sep 28 6:13 AM,Irritated;Trapped,Home;Writing;By myself,overcast clouds
360,2023 Wed Sep 27 8:15 PM,Good;Burned Out,Home;Writing;Pets,overcast clouds
361,2023 Wed Sep 27 5:37 PM,Chill,Home;Watching shows;By myself,overcast clouds
362,2023 Wed Sep 27 11:02 AM,Overwhelmed;Apathetic,Home;Resting;By myself,scattered clouds
363,2023 Wed Sep 27 6:36 AM,Sad;Insecure,Home;Reading;By myself,fog
364,2023 Tue Sep 26 6:40 PM,Thoughtful;Appreciated,At friends;Helping someone;Watching shows;Friends,overcast clouds
365,2023 Tue Sep 26 2:29 PM,Relieved,At friends;Helping someone;Friends,overcast clouds
366,2023 Tue Sep 26 6:22 AM,Anxious,Home;Waking up;By myself,fog
367,2023 Mon Sep 25 7:14 PM,Productive,Home;Writing;By myself,overcast clouds
368,2023 Mon Sep 25 5:08 PM,Chill;Optimistic,Home;Watching shows;By myself,overcast clouds
369,2023 Mon Sep 25 6:58 AM,Trapped,Home;Resting;By myself,scattered clouds
370,2023 Sun Sep 24 7:16 PM,Balanced;Pensive,Home;Reading;Pets,few clouds
371,2023 Sun Sep 24 1:23 PM,Chill;Restless,Outside;Walking;By myself,scattered clouds
372,2023 Sun Sep 24 11:28 AM,Productive;Determined,Home;Planning teaching;Pets,few clouds
373,2023 Sun Sep 24 6:31 AM,Lonely;Empty,Home;Writing;By myself,clear sky
374,2023 Sat Sep 23 6:30 PM,Lonely;Empty,Home;Resting;Pets,broken clouds
375,2023 Sat Sep 23 4:04 PM,Chill,Home;Reading;By myself,broken clouds
376,2023 Sat Sep 23 10:42 AM,Optimistic;Curious,Home;Back from run;By myself,clear sky
377,2023 Sat Sep 23 6:32 AM,Enthusiastic;Worried,Home;Writing;By myself,broken clouds
378,2023 Fri Sep 22 6:12 PM,Meh;Down,Home;Watching shows;By myself,light rain
379,2023 Fri Sep 22 6:34 AM,Thoughtful;Sympathetic,Home;Writing;By myself,light rain
380,2023 Thu Sep 21 8:14 PM,Peaceful;Thoughtful,Home;Reading;Resting;By myself,overcast clouds
381,2023 Thu Sep 21 12:30 PM,Productive,Work;Planning teaching;Co-workers,overcast clouds
382,2023 Thu Sep 21 8:02 AM,Balanced;Pensive,Work;Resting;By myself,overcast clouds
383,2023 Wed Sep 20 7:16 PM,Joyful;Tired,Outside;Hanging out;Strangers;Friends,broken clouds
384,2023 Wed Sep 20 11:27 AM,Pensive,Library;Writing;Friends,overcast clouds
385,2023 Wed Sep 20 6:35 AM,Sad;Empty,Home;Reading;Writing;By myself,light rain
386,2023 Tue Sep 19 7:44 PM,Chill;Disconnected,Home;Resting;By myself,broken clouds
387,2023 Tue Sep 19 6:31 AM,Anxious;Overwhelmed,Home;Writing;By myself,broken clouds
388,2023 Mon Sep 18 6:30 PM,Anxious;Annoyed,Home;Planning teaching;By myself,light rain
389,2023 Sun Sep 17 7:00 PM,Fatigued;Accomplished,Home;Resting;By myself,broken clouds
390,2023 Sun Sep 17 9:58 AM,Excited,Home;Resting;By myself,overcast clouds
391,2023 Sun Sep 17 6:56 AM,Chill;Wishful,Home;Writing;By myself,overcast clouds
392,2023 Sat Sep 16 6:38 PM,Productive;Playful,Home;Planning teaching;Watching shows;By myself,broken clouds
393,2023 Sat Sep 16 6:50 AM,Lost;Desire,Home;Resting;By myself,broken clouds
394,2023 Fri Sep 15 4:59 PM,Chill;Carefree,Outside;Networking;Strangers,broken clouds
395,2023 Thu Sep 14 6:12 PM,Proud,Commuting;Between places;Listening to music;Strangers,overcast clouds
396,2023 Thu Sep 14 5:22 PM,Relieved;Accomplished,Outside;Walking;By myself,overcast clouds
397,2023 Thu Sep 14 12:58 PM,Challenged;Competent,Commuting;Between places;Strangers,scattered clouds
398,2023 Thu Sep 14 11:55 AM,Upbeat,Work;Networking;Co-workers,scattered clouds
399,2023 Thu Sep 14 6:32 AM,Nervous;Optimistic,Home;Writing;By myself,few clouds
400,2023 Wed Sep 13 7:34 PM,Challenged,Home;Planning teaching;By myself,broken clouds
401,2023 Tue Sep 12 5:13 PM,Valued,At friends;Helping someone;Hanging out;Friends,overcast clouds
402,2023 Tue Sep 12 10:05 AM,Relieved,Work;Teaching,mist
403,2023 Tue Sep 12 6:00 AM,Tense,Home;Writing;By myself,mist
404,2023 Mon Sep 11 6:10 AM,Lonely;Empty,Home;Resting;By myself,mist
405,2023 Sun Sep 10 6:36 PM,Miserable;Anxious,Home;Watching shows;Pets,broken clouds
406,2023 Sun Sep 10 3:43 PM,Grateful,Home;Planning teaching;By myself,broken clouds
407,2023 Sun Sep 10 8:04 AM,Pensive;Wistful,Home;Writing;By myself,fog
408,2023 Sun Sep 10 4:58 AM,Anxious;Sad,Home;Reading;Pets,scattered clouds
409,2023 Sat Sep 9 7:55 AM,Sad,Home;Hanging out;By myself,overcast clouds
410,2023 Fri Sep 8 8:31 PM,Joyful,Outside;Networking;Friends,overcast clouds
411,2023 Fri Sep 8 2:22 PM,Productive,Work;Planning teaching;Co-workers,few clouds
412,2023 Fri Sep 8 8:03 AM,Surprised;Excited,Outside;Networking;Walking;Friends,few clouds
413,2023 Fri Sep 8 6:30 AM,Anxious,Home;Planning teaching;By myself,few clouds
414,2023 Thu Sep 7 6:31 PM,Discouraged;Wistful,Home;Planning teaching;Watching shows;By myself,broken clouds
415,2023 Thu Sep 7 7:00 AM,Confident;Calm,Home;Planning teaching;Writing;By myself,broken clouds
416,2023 Wed Sep 6 6:52 PM,Envious;Tired,Home;Reading;By myself,clear sky
417,2023 Wed Sep 6 5:58 PM,Desire;Lonely,Home;Watching shows;By myself,clear sky
418,2023 Wed Sep 6 6:45 AM,Longing,Home;Writing;By myself,fog
419,2023 Wed Sep 6 6:44 AM,Excited;Pensive,Home;Writing;By myself,fog
420,2023 Tue Sep 5 6:30 PM,Tired,Home;Watching shows;Resting;By myself,clear sky
421,2023 Tue Sep 5 5:08 PM,At Ease;Chill,Home;Resting;Family,scattered clouds
422,2023 Tue Sep 5 2:20 PM,Happy;Accomplished,Work;Planning teaching;Co-workers,scattered clouds
423,2023 Tue Sep 5 10:36 AM,Challenged;Annoyed,Work;Teaching;Co-workers;Students,broken clouds
424,2023 Tue Sep 5 6:31 AM,Anxious,Home;Writing;By myself,fog
425,2023 Mon Sep 4 6:08 PM,Tense,Home;Watching shows;Resting;Pets,clear sky
426,2023 Mon Sep 4 7:38 AM,Anxious,Home;Planning teaching;By myself,few clouds
427,2023 Mon Sep 4 7:37 AM,Productive;Challenged,Home;Planning teaching;By myself,few clouds
428,2023 Sun Sep 3 7:20 PM,Chill;Anxious,Home;Reading;Resting;By myself,broken clouds
429,2023 Sun Sep 3 3:14 PM,Meh;Tense,Outside;Reading;Pets,broken clouds
430,2023 Sun Sep 3 1:15 PM,Accomplished,Home;Planning teaching;By myself,broken clouds
431,2023 Sun Sep 3 7:52 AM,Productive;Challenged,Outside;Reading;Pets,few clouds
432,2023 Sat Sep 2 6:32 PM,Sad;Longing,Home;Watching shows;Listening to music;Resting;By myself,clear sky
433,2023 Fri Sep 1 1:35 PM,Nostalgic;Melancholic,Home;Watching shows;By myself,few clouds
434,2023 Fri Sep 1 1:33 PM,Sad;Apathetic,Home;Watching shows;By myself,few clouds
435,2023 Fri Sep 1 9:15 AM,Disappointed;Grateful,Home;Writing;By myself,overcast clouds
436,2023 Thu Aug 31 4:59 PM,Connected,Outside;Between places;Family,broken clouds
437,2023 Thu Aug 31 9:53 AM,Valued;Grateful,Outside;Walking;By myself,overcast clouds
438,2023 Thu Aug 31 8:21 AM,Joyful,Home;Writing;By myself,overcast clouds
439,2023 Wed Aug 30 9:35 PM,Excited;Worried,Home;Resting;By myself,overcast clouds
440,2023 Wed Aug 30 3:25 PM,Confused;Mellow,Home;Resting;Pets,broken clouds
441,2023 Wed Aug 30 6:31 AM,Pensive;Thoughtful,Home;Writing;Waking up;By myself,broken clouds
442,2023 Tue Aug 29 6:57 PM,Meh;Tired,Home;Resting;By myself,overcast clouds
443,2023 Tue Aug 29 10:04 AM,Mellow;Empowered,Outside;Walking;By myself,overcast clouds
444,2023 Tue Aug 29 8:49 AM,Vulnerable;Thoughtful,Home;Resting;By myself,overcast clouds
445,2023 Mon Aug 28 7:01 PM,Chill;Vulnerable,Home;Watching shows;Resting;By myself,few clouds
446,2023 Mon Aug 28 10:31 AM,Empowered;Wistful,Outside;Walking;By myself,few clouds
447,2023 Sun Aug 27 1:54 PM,Spent;Disconnected,Home;Watching shows;Resting;By myself,few clouds
448,2023 Sun Aug 27 7:44 AM,Fatigued,Outside;Walking;Strangers,scattered clouds
449,2023 Sat Aug 26 2:10 PM,Enthusiastic;Determined,Outside;Walking;Strangers,overcast clouds
450,2023 Fri Aug 25 5:22 PM,Chill,Home;Watching shows;By myself,broken clouds
451,2023 Fri Aug 25 2:46 PM,Sad;Apathetic,Home;Planning teaching;By myself,broken clouds
452,2023 Fri Aug 25 7:57 AM,Hopeful;Delighted,Outside;Walking;By myself,overcast clouds
453,2023 Thu Aug 24 11:31 AM,Enthusiastic,Work;Planning teaching;Co-workers,overcast clouds
454,2023 Thu Aug 24 6:30 AM,Nostalgic;Melancholic,Home;Writing;By myself,overcast clouds
455,2023 Wed Aug 23 3:40 PM,Sad,Home;Resting;By myself,overcast clouds
456,2023 Wed Aug 23 6:42 AM,Determined;Productive,Home;Writing;By myself,broken clouds
457,2023 Tue Aug 22 5:48 PM,Determined,Home;Resting;By myself,few clouds
458,2023 Tue Aug 22 2:26 PM,At Ease;Curious,Work;Planning teaching;Co-workers,broken clouds
459,2023 Tue Aug 22 6:55 AM,Sad;Challenged,Home;Writing;By myself,scattered clouds
460,2023 Mon Aug 21 5:56 PM,At Ease,Home;Eating;Pets,clear sky
461,2023 Mon Aug 21 2:55 PM,Meh,Home;Watching shows;By myself,clear sky
462,2023 Mon Aug 21 7:34 AM,Confused;Hopeful,Outside;Walking;By myself,scattered clouds
463,2023 Sun Aug 20 6:45 PM,Lost,Home;Watching shows;By myself,few clouds
464,2023 Sun Aug 20 11:28 AM,Nostalgic;Wishful,Home;Resting;By myself,mist
465,2023 Sun Aug 20 9:18 AM,Melancholic;Pensive,Outside;Walking;Listening to music;By myself,mist
466,2023 Sat Aug 19 6:10 PM,Valued;Proud,At friends;Hanging out;Friends,overcast clouds
467,2023 Sat Aug 19 6:50 AM,Pensive,Home;Writing;By myself,broken clouds
468,2023 Fri Aug 18 10:54 AM,Nostalgic;Calm,Commuting;Between places;Strangers,overcast clouds
469,2023 Fri Aug 18 6:45 AM,Thoughtful;Pensive,Home;Writing;Pets,broken clouds
470,2023 Thu Aug 17 8:03 PM,Pensive,Work;Resting;Pets,light rain
471,2023 Thu Aug 17 6:03 PM,Wishful;Wistful,Home;Watching shows;Resting;By myself,light rain
472,2023 Thu Aug 17 1:43 PM,Proud,Outside;Between places;By myself,overcast clouds
473,2023 Thu Aug 17 6:31 AM,Motivated;Wistful,Home;Writing;By myself,scattered clouds
474,2023 Wed Aug 16 5:45 PM,Balanced,Home;Writing;By myself,scattered clouds
475,2023 Wed Aug 16 12:45 PM,Connected;Productive,Work;Planning teaching;Co-workers,scattered clouds
476,2023 Tue Aug 15 9:45 PM,Sad,Home;Resting;Pets,overcast clouds
477,2023 Tue Aug 15 2:42 PM,Chill,Home;Resting;Pets,moderate rain
478,2023 Tue Aug 15 6:37 AM,Confident;Balanced,Outside;Between places;By myself,broken clouds
479,2023 Mon Aug 14 9:00 AM,Determined,Home;Writing;By myself,few clouds
480,2023 Sun Aug 13 6:04 PM,Calm;Anxious,Home;Hanging out;Strangers,broken clouds
481,2023 Sun Aug 13 9:24 AM,Pleasant;Motivated,Outside;Walking;Listening to music;By myself,overcast clouds
482,2023 Sun Aug 13 9:23 AM,Proud;Accomplished,Outside;Walking;Listening to music;By myself,overcast clouds
483,2023 Sun Aug 13 6:31 AM,Desire;Longing,Home;Waking up;Pets,overcast clouds
484,2023 Sat Aug 12 3:48 PM,Restless;Empty,Home;Watching shows;By myself,light rain
485,2023 Sat Aug 12 12:30 PM,Appreciated;Chill,Outside;Walking;Friends,light rain
486,2023 Sat Aug 12 7:20 AM,Meh;Disconnected,Home;Writing;By myself,overcast clouds
487,2023 Fri Aug 11 6:04 PM,Lonely,Home;Watching shows;By myself,overcast clouds
488,2023 Fri Aug 11 3:36 PM,Meh;Wistful,Home;Reading;Pets,overcast clouds
489,2023 Thu Aug 10 5:05 PM,Annoyed,Home;Resting;By myself,few clouds
490,2023 Thu Aug 10 1:15 PM,Tired;Apathetic,Home;Reading;Watching shows;Resting;By myself,broken clouds
491,2023 Thu Aug 10 7:48 AM,Meh;Disengaged,Home;Writing;Family,overcast clouds
492,2023 Wed Aug 9 8:37 PM,Chill,Outside;Watching shows;Friends,
493,2023 Wed Aug 9 2:55 PM,Appreciated;Connected,Work;Planning teaching;Co-workers,light rain
494,2023 Wed Aug 9 6:31 AM,Balanced,Home;Writing;Pets,broken clouds
495,2023 Tue Aug 8 6:15 PM,Confident,Home;Writing;Networking;Strangers,broken clouds
496,2023 Tue Aug 8 10:58 AM,Good,Work;Planning teaching;Co-workers,overcast clouds
497,2023 Mon Aug 7 3:30 PM,Connected;Appreciated,Work,light rain
498,2023 Mon Aug 7 7:51 AM,Accomplished;Motivated,Home;Writing;By myself,light rain
499,2023 Sun Aug 6 9:04 PM,Chill;Balanced,Home;Resting;By myself,moderate rain
500,2023 Sun Aug 6 8:31 AM,Disengaged,Home;Writing;Waking up;Pets,overcast clouds
501,2023 Sat Aug 5 6:53 PM,Tired,Home;Resting,few clouds
502,2023 Sat Aug 5 4:28 PM,Chill;Pensive,Home;Watching shows;Eating;Pets,few clouds
503,2023 Sat Aug 5 8:06 AM,Confident;At Ease,Home;Writing;Pets,overcast clouds
504,2023 Fri Aug 4 6:31 PM,Lonely;Down,Home;Watching shows;Pets,few clouds
505,2023 Fri Aug 4 7:59 AM,Connected;Confident,Home;Writing;By myself,clear sky
506,2023 Thu Aug 3 6:41 PM,Balanced;Confident,Outside;Walking;Pets,broken clouds
507,2023 Thu Aug 3 8:24 AM,Sad;Empty,Home;Back from run;By myself,broken clouds
508,2023 Wed Aug 2 6:41 PM,Challenged;Tired,Home;Watching shows;Resting;By myself,overcast clouds
509,2023 Wed Aug 2 8:41 AM,Accomplished;Optimistic,Home;Writing;By myself,scattered clouds
510,2023 Tue Aug 1 9:10 PM,Valued,Outside;Listening to music;Hanging out;Friends,overcast clouds
511,2023 Tue Aug 1 4:28 PM,Meh;Grumpy,Outside;Walking;Pets,scattered clouds
512,2023 Tue Aug 1 8:55 AM,Down;Apathetic,Outside;Walking;By myself,broken clouds
513,2023 Mon Jul 31 6:31 PM,Relaxed;Longing,Home;Resting;By myself,overcast clouds
514,2023 Mon Jul 31 10:32 AM,Mellow,Work;Reading;Writing;Hanging out;Co-workers,overcast clouds
515,2023 Sun Jul 30 8:49 PM,Tired;Sad,Home;Resting;By myself,scattered clouds
516,2023 Sun Jul 30 6:02 PM,Disappointed,Outside;Walking;Pets,broken clouds
517,2023 Sat Jul 29 9:32 AM,Excited;Determined,Home;Waking up;Pets,broken clouds
518,2023 Fri Jul 28 8:16 PM,Excited;Wishful,Home;Resting;Pets,few clouds
519,2023 Fri Jul 28 5:34 PM,Accomplished,Home;Writing;By myself,broken clouds
520,2023 Fri Jul 28 5:33 PM,Tired;Annoyed,Home;Hanging out;Strangers;By myself,broken clouds
521,2023 Fri Jul 28 3:51 PM,Understood,At friends;Hanging out;Friends,broken clouds
522,2023 Fri Jul 28 10:52 AM,Longing;Discouraged,Home;Writing;Waking up;By myself,few clouds
523,2023 Thu Jul 27 8:53 PM,Chill;Balanced,Commuting;Between places;Resting;Strangers;Family;By myself,overcast clouds
524,2023 Thu Jul 27 5:30 PM,Wistful,Outside;Commuting;Between places;Strangers;Family;By myself,overcast clouds
525,2023 Thu Jul 27 3:08 PM,Cheerful;Balanced,Vacation home;Outside;Between places;Strangers;Family,overcast clouds
526,2023 Wed Jul 26 8:07 PM,Chill;Balanced,Vacation home;Hanging out;Eating;Family,broken clouds
527,2023 Wed Jul 26 5:02 PM,Accomplished,Vacation home;By myself,overcast clouds
528,2023 Wed Jul 26 3:54 PM,Frustrated;Gaslit,Vacation home;Outside;Hanging out;Eating;Family,overcast clouds
529,2023 Wed Jul 26 9:00 AM,Concerned;Hopeful,Vacation home;Writing;By myself,overcast clouds
530,2023 Wed Jul 26 6:33 AM,Pensive,Vacation home;Writing;Waking up;By myself,overcast clouds
531,2023 Tue Jul 25 5:51 PM,Tired;Disappointed,Shops;Hanging out;Family;By myself,overcast clouds
532,2023 Tue Jul 25 8:54 AM,Chill;Wistful,Vacation home;Outside;After swimming;Walking;Listening to music;By myself,overcast clouds
533,2023 Mon Jul 24 7:15 PM,Grateful;Loving,Vacation home;Resting;Family;By myself,overcast clouds
534,2023 Mon Jul 24 5:15 PM,Happy;Relaxed,Vacation home;Outside;Hanging out;Eating;Family,overcast clouds
535,2023 Sun Jul 23 2:31 PM,Nostalgic;Wistful,Commuting;Between places;Strangers;Family,overcast clouds
536,2023 Sun Jul 23 10:25 AM,Accomplished;Amused,Commuting;Between places;Strangers;Family,light rain
537,2023 Sun Jul 23 6:37 AM,Grateful;Thoughtful,Commuting;Between places;Listening to music;Strangers;Family,broken clouds
538,2023 Sat Jul 22 9:19 PM,Excited;Tired,Home;Resting;Pets,light rain
539,2023 Sat Jul 22 11:30 AM,Connected;Grateful,Outside;Walking;Friends,broken clouds
540,2023 Sat Jul 22 8:37 AM,Thoughtful;Pensive,Home;Writing;Waking up;Pets,broken clouds
541,2023 Fri Jul 21 8:16 PM,Disconnected;Restless,Commuting;Between places;Listening to music;Strangers,scattered clouds
542,2023 Fri Jul 21 1:45 PM,Lonely,Vacation home;Watching shows;By myself,overcast clouds
543,2023 Fri Jul 21 1:23 PM,Melancholic;Empty,Vacation home;Watching shows;By myself,overcast clouds
544,2023 Fri Jul 21 7:00 AM,At Ease;Connected,Vacation home;Writing;By myself,overcast clouds
545,2023 Thu Jul 20 6:03 PM,Lonely;Peaceful,Vacation home;Watching shows;Pets,scattered clouds
546,2023 Thu Jul 20 2:00 PM,Accomplished;Resigned,Vacation home;Reading;Writing,scattered clouds
547,2023 Thu Jul 20 8:50 AM,Uncertain;Pensive,Vacation home;Outside;Walking;By myself,few clouds
548,2023 Wed Jul 19 7:00 PM,Relaxed;Wistful,Vacation home;Watching shows;By myself,overcast clouds
549,2023 Wed Jul 19 11:09 AM,Inspired,Vacation home;Outside;Walking;By myself,overcast clouds
550,2023 Wed Jul 19 8:25 AM,Good,Vacation home;Writing;Waking up;Pets,overcast clouds
551,2023 Tue Jul 18 7:47 PM,Restless;Insecure,Vacation home;Watching shows;By myself,broken clouds
552,2023 Tue Jul 18 4:24 PM,Lonely;Disengaged,Vacation home;Watching shows;Writing;By myself,scattered clouds
553,2023 Tue Jul 18 8:15 AM,Accomplished;Cheerful,Vacation home;Writing;By myself,clear sky
554,2023 Mon Jul 17 6:38 PM,At Ease;Content,Vacation home;Watching shows,overcast clouds
555,2023 Mon Jul 17 9:32 AM,Balanced;Inspired,Outside;After swimming;Walking;By myself,moderate rain
556,2023 Sun Jul 16 5:14 PM,Meh;Restless,Home;Watching shows;Pets,scattered clouds
557,2023 Sun Jul 16 11:21 AM,Tired,Home;Writing;By myself,broken clouds
558,2023 Sat Jul 15 8:12 PM,Relaxed;Connected,Outside;Listening to music;Hanging out;Strangers;Friends,broken clouds
559,2023 Sat Jul 15 6:28 AM,Accomplished;Motivated,Home;Writing;By myself,overcast clouds
560,2023 Sat Jul 15 5:25 AM,Nostalgic;Longing,Home;Waking up;By myself,overcast clouds
561,2023 Fri Jul 14 1:59 PM,Balanced;Happy,Outside;Walking;Listening to music;By myself,scattered clouds
562,2023 Fri Jul 14 7:05 AM,Motivated;Excited,Home;Writing;By myself,clear sky
563,2023 Thu Jul 13 7:22 PM,Determined;Pensive,Home;Watching shows;Writing;Resting;Pets,few clouds
564,2023 Thu Jul 13 8:24 AM,Angry,Outside;Walking;By myself,few clouds
565,2023 Thu Jul 13 7:59 AM,Sad,Home;Resting;By myself,few clouds
566,2023 Thu Jul 13 6:56 AM,Determined;Wistful,Home;Writing;By myself,few clouds
567,2023 Thu Jul 13 5:33 AM,Discouraged;Rejected,Home;Waking up;By myself,few clouds
568,2023 Wed Jul 12 8:09 PM,Excited,Home;Resting;By myself,light intensity shower rain
569,2023 Wed Jul 12 6:36 PM,Frustrated;Confused,Home;Resting;By myself,light intensity shower rain
570,2023 Wed Jul 12 3:46 PM,Appreciated;Included,Home;Resting;By myself,light intensity shower rain
571,2023 Wed Jul 12 12:41 AM,Restless;Uncertain,Home;Resting;Pets,
572,2023 Tue Jul 11 6:53 PM,Pessimistic;Longing,Home;Resting;By myself,broken clouds
573,2023 Tue Jul 11 4:55 PM,Thankful;Pensive,Home;Watching shows;Resting;By myself,broken clouds
574,2023 Tue Jul 11 2:00 PM,Playful;Happy,Outside;Hobbies;Strangers;Friends,broken clouds
575,2023 Tue Jul 11 8:25 AM,Curious;Playful,Outside;Walking;After swimming;By myself,fog
576,2023 Mon Jul 10 7:57 PM,Disappointed,Home;Watching shows;By myself,broken clouds
577,2023 Mon Jul 10 6:01 AM,Calm;Excited,Vacation home;Writing;Waking up;By myself,overcast clouds
578,2023 Sun Jul 9 7:05 PM,Relaxed;Melancholic,Vacation home;Watching shows;By myself,scattered clouds
579,2023 Sun Jul 9 4:00 PM,Excited,Outside;Walking;Resting;By myself,overcast clouds
580,2023 Sun Jul 9 10:46 AM,Pleased;Curious,Vacation home;Outside;Reading;Pets,clear sky
581,2023 Sat Jul 8 3:55 PM,Chill;Wistful,Vacation home;Outside;Resting;Reading;Pets,clear sky
582,2023 Sat Jul 8 8:40 AM,Peaceful;Pensive,Vacation home;Waking up;By myself,light rain
583,2023 Fri Jul 7 9:10 PM,Lonely;Apathetic,Vacation home;Watching shows;Resting;By myself,broken clouds
584,2023 Fri Jul 7 7:18 AM,Chill,Vacation home;Outside;Writing;Waking up;By myself,broken clouds
585,2023 Thu Jul 6 11:15 PM,Disengaged,Vacation home;Spacied out;Watching shows;By myself,
586,2023 Thu Jul 6 9:35 AM,Balanced;Hopeful,Outside;Walking;By myself,overcast clouds
587,2023 Thu Jul 6 7:16 AM,Melancholic;Wistful,Vacation home;Walking;Waking up;By myself,broken clouds
588,2023 Wed Jul 5 7:24 PM,Lonely;Apathetic,Vacation home;Resting;By myself,broken clouds
